event_id;chr_ref;po_number;po_linked;primary_reference;status;status_detail;activity_date;mode;mode_detail;pickup_date;origin;destination;total_charge_usd;carrier_code;bol_chr;mbol_number;material_id;invoice_date
1;540847641;;;4500014768;Delivered;Delivered;2026-01-13;Truckload;Truckload (Dry);2026-01-13;KDC Chemaid;Fosdick;1,066.08;T6124066;;;9050130501;2026-01-14
2;542704049;;;4500014826;Delivered;Delivered;2026-01-30;LTL;LTL (Dry);2026-01-30;Westfall-Technik;Fosdick (CT);598.39;T2197553;;;;2026-02-04
3;554714019;;;117569528;Delivered;Delivered;2026-05-26;LTL;LTL (Dry);2026-05-26;Westrock;BJ'S WHOLESALE CLUB 0800;651.53;T4446427;;;;2026-05-29
4;543561010;;;4500014088 MULTI;Delivered;Delivered;2026-02-11;Truckload;Truckload (Dry);2026-02-11;KDC One;RJW - Joliet;1,211.68;T6114365;;;"9050089502; 9050091702; 9050091602; 9050091701; 9050089602; 9050091601";2026-02-12
5;555187531;;;4500017441;Delivered;Delivered;2026-06-03;Truckload;Truckload (Dry);2026-06-03;Legacy (IN);RJW - Joliet;1,482.18;T6104010;;;"9050067905; 9050098001";2026-06-04
6;550647941;;;4500016692;Delivered;Delivered;2026-04-21;LTL;LTL (Dry);2026-04-20;RJW - Joliet;PCA;1,316.70;T4446427;;;;2026-04-23
7;551160924;;;4500016794;Carrier Booked;Checked In;2026-04-22;LTL;LTL (Dry);;Fosdick Outbound;Legacy (IN);267.08;T2197553;;;;
8;554495317;;;4500014837;Delivered;Delivered;2026-05-27;Truckload;Truckload (Dry);2026-05-27;KDC One;RJW - Joliet;1,738.69;T6082803;;;9050091702;2026-05-28
9;541702330;;;4500014332;Delivered;Delivered;2026-01-30;Truckload;Truckload (Dry);2026-01-30;Beauty Manufacturing Solutions Corp;RJW - Joliet;2,076.12;T5058066;;;9050092202;2026-02-02
10;555142110;;;4500017448;Carrier Booked;Checked In;2026-05-29;LTL;LTL (Dry);;Menasha Packaging Company;Fosdick Inbound;541.16;T2359780;;;"9200002701; 9200000201";
11;552484763;;;4500017118;Delivered;Delivered;2026-05-05;Truckload;Truckload (Dry);2026-05-05;Menasha Packaging Company;Westrock IL;1,921.15;T3276695;;;9050110202;2026-05-07
12;554478773;;;4500017291;In Transit;Picked Up;2026-05-27;LTL;LTL (Dry);2026-06-01;RJW - Joliet;Fosdick Inbound;376.67;T2359780;;;;
13;538170130;;;4500011973;Delivered;Delivered;2025-12-23;Intermodal;Intermodal (Dry);2025-12-23;Beauty Manufacturing Solutions Corp;RJW - Joliet;1,645.71;T6057752;;;9050096202;2026-01-26
14;539304580;;;4500015368;Delivered;Delivered;2025-12-29;Truckload;Truckload (Dry);2025-12-29;Menasha Packaging Company;RJW - Joliet;2,702.97;T1228;;;"9050089901; 9050121901";2025-12-31
15;545560189;;;4500016177;Delivered;Delivered;2026-03-02;Truckload;Truckload (Dry);2026-03-02;Menasha Packaging Company;RJW - Joliet;2,501.65;T6292572;;;"9050089902; 9050089903; 9050082501";2026-03-04
16;545982652;;;4500016200;Delivered;Delivered;2026-03-12;Truckload;Truckload (Dry);2026-03-12;RJW - Joliet;Legacy;918.80;T3655266;;;;2026-03-13
17;540314053;;;4500015433;Delivered;Delivered;2026-01-07;LTL;LTL (Dry);2026-01-08;Fosdick Outbound;Legacy (IN);770.24;T4446427;;;9050028901;2026-01-15
18;544766307;;;4500013331;Delivered;Delivered;2026-02-23;Truckload;Truckload (Dry);2026-02-23;AEROFIL;RJWIL;1,576.50;T5309195;;;;2026-02-24
19;540285569;;;4500013286;Delivered;Delivered;2026-01-08;LTL;LTL (Dry);2026-01-08;Beauty Manufacturing Solutions Corp;RJW - Joliet;642.22;T4246;;;9050112901;2026-01-16
20;546763566;;;4500014835, 4500014324;Delivered;Delivered;2026-03-13;Truckload;Truckload (Dry);2026-03-13;KDC One;RJW - Joliet;803.75;T107658;;;"9050091602; 9050089602";2026-03-17
21;541554979;;;4500015574;Delivered;Delivered;2026-01-21;Truckload;Truckload (Dry);2026-01-21;Menasha Packaging Company;RJW - Joliet;1,890.87;T6174400;;;"9050089904; 9050099306; 9050082501";2026-01-23
22;540531378;;;4500013429;Delivered;Delivered;2026-01-12;LTL;LTL (Dry);2026-01-12;KDC-Knowlton;Fosdick Fulfillment;707.48;T2295160;;;9050093302;2026-01-20
23;547431641;;;4500014522,4500014428,4500014557;Delivered;Delivered;2026-03-19;Truckload;Truckload (Dry);2026-03-19;KDC-Knowlton;RJW - Joliet;4,285.61;T4385745;817;;"9050092902; 9050093102";2026-03-25
24;548090094;;;4500016524;Delivered;Delivered;2026-03-30;LTL;LTL (Dry);2026-03-30;Menasha Packaging Company;Fosdick Fulfillment;4,111.11;T4446427;;;9200000201;2026-04-09
25;542217863;;;4500015255 & 4500015269;Delivered;Delivered;2026-02-02;Truckload;Truckload (Dry);2026-02-02;International Paper;Fosdick Outbound;2,184.42;T6240725;;;"6120007201; 6120007101";2026-02-03
26;546692248;;;4500015569,15596,15567,15570, 15573;Delivered;Delivered;2026-03-12;Truckload;Truckload (Dry);2026-03-12;FM Howell;RJW - Joliet;1,651.37;T4157735;;;9050068701;2026-03-13
27;555920706;4500015524;true;4500015524;Delivered;Delivered;2026-06-04;Truckload;Truckload (Dry);2026-06-04;KDC Chemaid;Legacy;3,100.91;T6318447;;;9050092302;2026-06-08
28;550456576;;;0325CT_G+FDonation;Delivered;Delivered;2026-04-30;Truckload;Truckload (Dry);2026-04-30;Fosdick Outbound;The River Fund c/o: Good+Foundation;1,327.10;T6286349;;;;2026-05-01
29;543749297;;;4500015833;Delivered;Delivered;2026-02-12;Truckload;Truckload (Dry);2026-02-12;Fosdick Outbound;Fosdick Fulfillment;7,732.25;T6308528;;;"9050053101; MSPK0544";2026-02-16
30;556574914;;;4500015685,4500015686;Delivered;Delivered;2026-06-10;Truckload;Truckload (Dry);2026-06-10;KDC-Knowlton;RJW - Joliet;2,348.25;T4524140;;;"9050093002; 9050093102";2026-06-12
31;553507805;;;4500013295;Delivered;Delivered;2026-05-19;Intermodal;Intermodal (Dry);2026-05-19;Beauty Manufacturing Solutions Corp;RJW - Joliet;2,387.98;T1641117;;;"9050092202; 9050102601";2026-05-28
32;553137035;;;4500017164;Delivered;Delivered;2026-05-11;Truckload;Truckload (Dry);2026-05-11;Menasha Packaging Company;RJW - Joliet;2,000.84;T5043883;;;"9050110201; 9050125612";2026-05-13
33;552481507;;;4500016675;Delivered;Delivered;2026-05-05;Truckload;Truckload (Dry);2026-05-05;Tessy Plastics;Westrock IL;1,798.45;T5342509;;;9050013404;2026-05-06
34;543187469;;;4500015837;Delivered;Delivered;2026-02-09;LTL;LTL (Dry);2026-02-09;Menasha Packaging Company;Fosdick (CT);166.82;T1934631;;;9200002701;2026-02-10
35;553968674;;;4500014833;Delivered;Delivered;2026-05-20;LTL;LTL (Dry);2026-05-20;Orlandi Inc.;Fosdick Inbound;310.51;T2359780;;;;2026-05-26
36;543857777;;;4500014660;Delivered;Delivered;2026-02-12;Truckload;Truckload (Dry);2026-02-12;CG LABS;Fosdick;1,194.44;T6149888;;;;2026-02-13
37;544612895;;;4500014555;Delivered;Delivered;2026-02-19;Truckload;Truckload (Dry);2026-02-19;CG Labs;Legacy;2,507.00;T6073435;;;;2026-02-23
38;543559537;;;4500014087, 4500014570;Delivered;Delivered;2026-02-10;Truckload;Truckload (Dry);2026-02-10;KDC One;Legacy IN;1,064.58;T5194942;;;"9050091602; 9050089502";2026-02-10
39;556674412;4500015638;true;4500015638, 4500014837;Delivered;Delivered;2026-06-11;LTL;LTL (Dry);2026-06-11;KDC One;RJW - Joliet;687.86;T218939;;;9050091702;
40;541702516;;;4500014332;Delivered;Delivered;2026-01-29;Intermodal;Intermodal (Dry);2026-01-29;Beauty Manufacturing Solutions Corp;RJW - Joliet;1,712.45;T5613;;;9050092202;2026-02-09
41;556849333;;;4500014484;Delivered;Delivered;2026-06-12;Truckload;Truckload (Dry);2026-06-12;KDC Chemaid;RJW IL2;2,010.43;T6028434;;;9050093401;2026-06-14
42;547783215;4500015514;true;4500015514;Delivered;Delivered;2026-03-24;Truckload;Truckload (Dry);2026-03-24;KDC Chemaid;Fosdick;1,102.33;T6300639;;;9050130901;2026-03-24
43;538890852;;;4500014140;Delivered;Delivered;2026-01-05;LTL;LTL (Dry);2026-01-05;CG LABS;Fosdick;512.28;T2197553;;;9050126801;2026-01-06
44;552193540;;;4500015199;Delivered;Delivered;2026-05-05;Truckload;Truckload (Dry);2026-05-05;Orlandi Inc.;Fosdick Inbound;870.12;T6308952;;;"9050115901; 9050115801; 9050115701";2026-05-06
45;554573159;4500015853;true;4500015853;Delivered;Delivered;2026-05-28;Truckload;Truckload (Dry);2026-05-28;DMI Corporation;RJW - Joliet;2,184.11;T6249441;;;;2026-05-29
46;551047176;;;4500016282;Delivered;Delivered;2026-04-22;Truckload;Truckload (Dry);2026-04-22;PCA Landisville;Fosdick CT;1,694.05;T2352274;;;6360035301;2026-04-23
47;553227955;;;4500015179,45000015179;Delivered;Delivered;2026-05-14;Truckload;Truckload (Dry);2026-05-14;KDC Chemaid;RJW - Joliet;4,929.58;T5350638;;;9050137401;2026-05-15
48;555184202;;;4500014331;Ordered;Assigned;2026-06-04;Intermodal;Intermodal (Dry);;Beauty Manufacturing Solutions Corp;RJW - Joliet;;;;;9050092302;
49;540589214;;;4500012440;Ordered;Ordered;2026-01-13;LTL;LTL (Dry);;Charles Green Labs;Legacy IN;;;;;9050089701;
50;555762911;4500017332;true;4500017332;Delivered;Delivered;2026-06-03;LTL;LTL (Dry);2026-06-03;Westfall-Technik;CUSTOMER PICK UP: FOSDICK (NV);323.94;T2197553;;;9050099804;
51;541536901;;;4500014090;Delivered;Delivered;2026-01-22;LTL;LTL (Dry);2026-01-22;KDC One;Fosdick (CT);524.18;T1934631;;;9050089602;2026-01-27
52;542698052;;;4500014826;Delivered;Delivered;2026-02-02;LTL;LTL (Dry);2026-02-02;Westfall-Technik;Fosdick Fulfillment;284.69;T2197553;;;;2026-02-05
53;553655327;;;4500015382;Delivered;Delivered;2026-05-19;Truckload;Truckload (Dry);2026-05-19;PLZ MISSISSAUGA PERSONAL CARE;RJW - Joliet;1,788.92;T5354391;;;;2026-05-20
54;542430740;;;4500014471;Delivered;Delivered;2026-01-30;LTL;LTL (Dry);2026-01-28;Silgan Distribution Center;Orlandi Inc.;213.32;T2359780;;;;2026-01-30
55;552129249;;;4500017040;Delivered;Delivered;2026-05-01;LTL;LTL (Dry);2026-05-01;Legacy (IN);Fosdick;483.03;T2197553;;;9050144704;2026-05-05
56;549409305;;;45000016238-20;Delivered;Delivered;2026-04-07;Truckload;Truckload (Dry);2026-04-07;PCA Landisville;Fosdick CT;1,456.49;T6005489;;;;2026-04-08
57;548334183;;;4500014837;Delivered;Delivered;2026-03-30;LTL;LTL (Dry);2026-03-30;KDC One;Fosdick (CT);493.45;T1934631;;381685053906;9050091702;2026-04-01
58;552429659;;;4500014088;Delivered;Delivered;2026-05-05;LTL;LTL (Dry);2026-05-06;KDC One;RJW - Joliet;371.79;T2197553;;;9050091702;2026-05-08
59;552460535;;;PO2604BA;Delivered;Delivered;2026-05-04;Truckload;Truckload (Dry);2026-05-05;KDC One;Prime Matter Labs West;2,800.00;T6164033;;;;2026-05-08
60;552484349;;;4500014919;Delivered;Delivered;2026-05-06;Truckload;Truckload (Dry);2026-05-06;PLZ MISSISSAUGA PERSONAL CARE;RJW IL2;1,881.22;T5354391;;;;2026-05-08
61;538801050;;;4500013438;Delivered;Delivered;2025-12-23;LTL;LTL (Dry);2025-12-23;KDC One;Fosdick (CT);500.91;T1934631;;;9050091602;2025-12-29
62;542700455;;;4500014826;Delivered;Delivered;2026-02-02;LTL;LTL (Dry);2026-01-30;Westfall-Technik;Legacy IN;322.36;T2359780;;;;2026-02-03
63;538414880;;;4500013438;Delivered;Delivered;2025-12-22;LTL;LTL (Dry);2025-12-22;KDC One;Legacy IN;676.11;T8154;;;9050091602;2025-12-26
64;545775323;;;4500016184;Delivered;Delivered;2026-03-04;Truckload;Truckload (Dry);2026-03-04;Menasha Packaging Company;RJW - Joliet;1,691.62;T5342509;;;"9050088702; 9050088704; 9050089902; 9050099306";2026-03-06
65;550489440;;;4500014704;Delivered;Delivered;2026-04-21;Truckload;Truckload (Dry);2026-04-21;PLZ MISSISSAUGA PERSONAL CARE;RJW IL2;2,055.63;T5268713;;;;2026-04-22
66;553502482;;;4500017184;Delivered;Delivered;2026-05-14;LTL;LTL (Dry);2026-05-14;Harry's, INC. C/O Fosdick Fulfillment;Fosdick Outbound;231.20;T2197553;;;9050109501;2026-05-20
67;554712429;;;117570181;Delivered;Delivered;2026-05-22;LTL;LTL (Dry);2026-05-22;Westrock;BJS WHOLESALE CLUB' 0840;656.49;T4446427;;;;
68;553794118;;;4500013295;Delivered;Delivered;2026-05-20;Intermodal;Intermodal (Dry);2026-05-20;Beauty Manufacturing Solutions Corp;RJW - Joliet;2,267.22;T6057752;;;9050092202;2026-05-28
69;546165503;;;4500014817;Delivered;Delivered;2026-03-09;LTL;LTL (Dry);2026-03-06;CG Labs;Fosdick;802.07;T2295160;;;;2026-06-03
70;543708313;;;NS;Delivered;Delivered;2026-01-27;LTL;LTL (Dry);2025-10-28;Harry's CJ Logistics;RJW - Joliet;251.17;T129576;;;;2026-02-10
71;543562347;;;4500015855;Delivered;Delivered;2026-02-10;Truckload;Truckload (Dry);2026-02-10;Menasha Packaging Company;RJW - Joliet;2,122.62;T4429951;;;"9050089901; 9050068801";2026-02-12
72;547358660;;;4500014324;Delivered;Delivered;2026-03-19;Truckload;Truckload (Dry);2026-03-19;KDC One;Fosdick (CT);2,791.10;T6169665;;;9050091602;2026-03-20
73;540377559;;;4500014147;Delivered;Delivered;2026-01-08;LTL;LTL (Dry);2026-01-08;DMI Corporation;RJW IL2;1,443.73;T2197553;;;;2026-01-13
74;543202653;;;4500014088;Delivered;Delivered;2026-02-09;Truckload;Truckload (Dry);2026-02-09;KDC One;RJW - Joliet;1,537.18;T6252449;;;9050091702;2026-02-10
75;544545090;;;4500015892;Delivered;Delivered;2026-02-20;Truckload;Truckload (Dry);2026-02-20;RJW - Joliet;Menasha (NJ);4,421.98;T5160094;;;;2026-02-23
76;548679427;;;5433638265;Delivered;Delivered;2026-04-01;LTL;LTL (Dry);2026-04-01;Menasha Packaging Company;Sams Club;2,294.58;T129576;;;9150206110;2026-04-06
77;544545972;;;4500014115, 4500014325;Delivered;Delivered;2026-02-19;Truckload;Truckload (Dry);2026-02-19;KDC One;RJW - Joliet;1,356.27;T3803;;;9050091702;2026-02-20
78;538497412;;;4500015252;Delivered;Delivered;2025-12-19;Truckload;Truckload (Dry);2025-12-19;Menasha Packaging Company;RJW - Joliet;1,950.99;T4032834;;;9050114212;2025-12-23
79;552147137;;;4500015199;Delivered;Delivered;2026-05-04;LTL;LTL (Dry);2026-05-04;Orlandi Inc.;Harry's, INC. C/O Fosdick Fulfillment;2,206.03;T2197553;;;"9050115901; 9050115801; 9050115701";2026-05-11
80;547609398;;;4500014917;Delivered;Delivered;2026-03-19;LTL;LTL (Dry);2026-03-19;Charles Green Labs;Fosdick (CT);867.54;T6300639;;;;2026-03-20
81;540377759;;;4500014147;Delivered;Delivered;2026-01-08;LTL;LTL (Dry);2026-01-08;DMI Corporation;Legacy Supply Chain Service;193.01;T4384804;;;;2026-01-13
82;542439086;;;4500015247, 4500015248, 4500015250, 4500014920;Delivered;Delivered;2026-02-02;Truckload;Truckload (Dry);2026-02-02;FM Howell;RJW - Joliet;2,013.99;T6161417;;;9050068701;2026-02-03
83;548071455;;;4500016521;Delivered;Delivered;2026-03-26;Truckload;Truckload (Dry);2026-03-26;Menasha Packaging Company;RJW - Joliet;1,726.04;T5195876;;;"9050114212; 9050099402; 9050088702; 9050088704";2026-03-30
84;539545037;;;4500015415,4500015402;Delivered;Delivered;2025-12-31;Truckload;Truckload (Dry);2025-12-31;Menasha Packaging Company;RJW - Joliet;2,295.98;T235200;;;"9050092201; 9050125612";2026-01-05
85;547757344;;;4500016489;Delivered;Delivered;2026-03-23;Truckload;Truckload (Dry);2026-03-23;Menasha Packaging Company;RJW - Joliet;2,098.35;T6114364;;;"9050089903; 9050089904";2026-03-25
86;547195015;;;4500014830;Delivered;Delivered;2026-03-17;LTL;LTL (Dry);2026-03-17;Westfall-Technik;Menasha (NJ);437.28;T4446427;;;;2026-03-20
87;548668083;;;4500014838;Delivered;Delivered;2026-04-02;LTL;LTL (Dry);2026-04-02;KDC One;RJW - Joliet;232.22;T4384804;;;9050124901;2026-04-07
88;550611735;;;4500014945,4500014903,4500014946;Delivered;Delivered;2026-04-17;Truckload;Truckload (Dry);2026-04-17;KDC-Knowlton;RJW - Joliet;3,740.50;T2245943;;;"9050092902; 9050093102; 9050093002";2026-04-23
89;547118641;;;4500016294;Delivered;Delivered;2026-03-19;LTL;LTL (Dry);2026-03-24;RJW - Joliet;Fosdick;307.33;T2359780;;;;2026-03-23
90;538441157;;;4500014193;Delivered;Delivered;2025-12-18;LTL;LTL (Dry);2025-12-18;Westfall Technik, LLC;Legacy IN;232.66;T2295160;983820601;;;2025-12-22
91;542492271;;;4500014096-CT;Delivered;Delivered;2026-01-29;LTL;LTL (Dry);2026-01-29;Oxygen Development;Fosdick Outbound;679.27;T4446427;;;9050097301;2026-02-05
92;555858706;;;4500015314, 4500014944;Delivered;Delivered;2026-06-09;LTL;LTL (Dry);2026-06-10;KDC One;Fosdick (CT);1,019.02;T2295160;;;"9050124901; 9050091602";
93;541702162;;;4500014332;Delivered;Delivered;2026-01-30;Truckload;Truckload (Dry);2026-01-30;Beauty Manufacturing Solutions Corp;RJW - Joliet;3,302.25;T6240725;;;9050092202;2026-02-02
94;550601718;;;4500016592;Delivered;Delivered;2026-04-16;LTL;LTL (Dry);2026-04-16;Fosdick Outbound;Legacy (IN);428.61;T2197553;;;;2026-04-21
