exception_id;po_number;line_item;material_id;supplier_id;supplier_name;plant;po_qty;open_qty;delivery_date;ibd_qty;chr_status;exception_type;priority;priority_score;panel;recommendation;evidence
1;4500015431;10;6360044101;;Intracompany transfer;1714;2;2;2026-01-09;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500015431/10 past due (2026-01-09) � no inbound delivery and no CHR shipment record exists. Escalate to Intracompany transfer immediately.;delivery_date < today AND no IBD AND no CHR match
2;4500015431;20;6360035302;;Intracompany transfer;1714;2;2;2026-01-09;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500015431/20 past due (2026-01-09) � no inbound delivery and no CHR shipment record exists. Escalate to Intracompany transfer immediately.;delivery_date < today AND no IBD AND no CHR match
3;4500015463;30;9050096802;1000776;Chemaid Laboratories Inc;7101;132912;76536;2026-06-01;57576;Delivered;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;PO 4500015463/30 delivered per carrier and IBD posted (57576 units). Proceed with GR posting.;"IBD+CHR exist; CHR status=Delivered; quantity reconciles"
4;4500015463;40;9050096802;1000776;Chemaid Laboratories Inc;1712;1200;1200;2026-06-01;632;Delivered;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;PO 4500015463/40 delivered per carrier and IBD posted (632 units). Proceed with GR posting.;"IBD+CHR exist; CHR status=Delivered; quantity reconciles"
5;4500015476;10;9050133701;1013876;COSMEDX BIO LLC;1711;8700;9;2026-04-17;5171;;QTY_MISMATCH;High;3;ACTION_REQUIRED;Qty mismatch on PO 4500015476/10: SAP shows 8691 received but inbound delivery only carries 5171. Investigate short-shipment / data gap.;"IBD exists, no CHR; GR posted (8691) exceeds IBD qty (5171)"
6;4500015488;10;9050103104;1012603;NPI Medical, Inc;1711;22960;2800;2026-02-15;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500015488/10 past due (2026-02-15) � no inbound delivery and no CHR shipment record exists. Escalate to NPI Medical, Inc immediately.;delivery_date < today AND no IBD AND no CHR match
7;4500015491;10;9050130301;1013563;Concept Matrix Solutions;1711;50000;50000;2026-05-29;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500015491/10 past due (2026-05-29) � no inbound delivery and no CHR shipment record exists. Escalate to Concept Matrix Solutions immediately.;delivery_date < today AND no IBD AND no CHR match
8;4500015492;10;6360044101;1000851;Uline- Chicago;1711;6000;1000;2026-01-09;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500015492/10 past due (2026-01-09) � no inbound delivery and no CHR shipment record exists. Escalate to Uline- Chicago immediately.;delivery_date < today AND no IBD AND no CHR match
9;4500015509;50;9050054310;1000776;Chemaid Laboratories Inc;1787;5000;5000;2026-05-08;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500015509/50 past due (2026-05-08) � no inbound delivery and no CHR shipment record exists. Escalate to Chemaid Laboratories Inc immediately.;delivery_date < today AND no IBD AND no CHR match
10;4500015510;10;9050097002;1005413;Beauty Manufacturing Solutions Corp;7101;25000;25000;2026-05-04;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500015510/10 past due (2026-05-04) � no inbound delivery and no CHR shipment record exists. Escalate to Beauty Manufacturing Solutions Corp immediately.;delivery_date < today AND no IBD AND no CHR match
