delivery;item;item_category;created_by;time;created_on;material;material_group;plant;storage_location;delivery_quantity;base_unit_of_measure;actual_delivery_qty;item_description;reference_document;reference_item;movement_type;overall_status;item_1;billing_item;packing_item;picking_putaway_item;delivery_item;goods_mvt_item;goods_movement_status;shipping_point_receiving_pt;delivery_type;delivery_date;incoterms;changed_by;changed_on;bill_of_lading;supplier;document_date;act_goods_movement_date;external_delivery_id
180030493;10;ELN;BATCH_USER;22:30:34;2026-01-21;9050114301;1001;1711;171A;2;EA;2;H '25 PLUS SHAVE SET GREEN US WMT;4500015583;10;101;A;C;C;C;C;C;C;A;1711;EL;2026-01-21;EXW;;00:00:00;;1714;2026-01-21;;0080180482
180030502;10;ELN;FARKASB;16:30:25;2026-01-22;9050117603;6001;7814;178A;19104;EA;19104;LUME AP SPRAY 4.3 OZ CLEAN TANGERINE;4500015547;10;101;A;C;C;C;C;C;C;A;7814;EL;2026-01-15;DAP;;00:00:00;;7803;2026-01-22;;0080180594
180030559;10;ZELN;COLEYC;01:06:34;2026-01-26;6360044101;1;1711;171A;5000;EA;5000;H' SMALL SHIPPER 8X5X2, BR25;4500015492;10;109;C;C;C;C;C;C;C;C;1711;ZEL;2026-01-13;EXW;COLEYC;2026-01-26 00:00:00;;1000851;2026-01-13;2026-01-13;
180030879;10;ELN;COLEYC;19:18:29;2026-02-05;6360044101;1;1714;171A;2;EA;2;H' SMALL SHIPPER 8X5X2, BR25;4500015431;10;101;A;C;C;C;C;C;C;A;1714;EL;2026-01-09;EXW;;00:00:00;;1711;2026-02-05;;0080178028
180030879;20;ELN;COLEYC;19:18:29;2026-02-05;6360035302;1;1714;171A;2;EA;2;H' MEDIUM SHIPPER 9X5X2, BR25;4500015431;20;101;A;C;C;C;C;C;C;A;1714;EL;2026-01-09;EXW;;00:00:00;;1711;2026-02-05;;0080178028
180031214;10;ZELN;COLEYC;15:28:34;2026-02-20;9050103104;1001;1711;171A;20160;EA;20160;H '25 PLUS PILOT LINE REFILL 4CT US;4500015488;10;109;C;C;C;C;C;C;C;C;1711;ZEL;2026-02-10;;COLEYC;2026-02-20 00:00:00;;1012603;2026-02-10;2026-02-19;
180031344;10;ZELN;CHIUA;17:40:09;2026-02-25;6350067601;1;7101;171A;4050;EA;4050;OUTER CASE X 24, F' 8CT REFILL;4500015650;20;109;C;C;C;C;C;C;C;C;7101;ZEL;2026-02-24;EXW;CHIUA;2026-02-25 00:00:00;;1002282;2026-02-24;2026-02-24;
180031362;10;ZELN;COLEYC;21:17:56;2026-02-25;6360043401;1;1711;171A;47000;EA;47000;BAG, H' MYSTERY BAG, LARGE 2025;4500015538;20;109;C;C;C;C;C;C;C;C;1711;ZEL;2026-02-25;EXW;COLEYC;2026-03-02 00:00:00;544434900;1000017;2026-02-25;2026-02-27;
180031459;10;ZELN;CHIUA;20:27:24;2026-02-27;6350067501;1;7101;171A;24575;EA;24575;INNER CASE X 6, F' 8CT REFILL;4500015650;10;109;C;C;C;C;C;C;C;C;7101;ZEL;2026-02-25;EXW;CHIUA;2026-02-27 00:00:00;;1002282;2026-02-25;2026-02-25;
180031468;10;ELN;SAP_WFRT;02:31:41;2026-02-28;9050089902;1001;1722;171A;5004;EA;5004;H '26 PLUS PACK ONYX US RTL;4500015903;10;101;C;C;C;C;C;C;C;C;1722;EL;2026-02-27;DAP;CHIUA;2026-03-02 00:00:00;99999999;1003563;2026-02-27;2026-02-27;3026272
180031815;10;ZELN;CHIUA;14:48:57;2026-03-16;6350067301;1;7101;171A;42100;EA;42100;INNER CASE X 6, F' 4CT REFILL;4500015648;10;109;C;C;C;C;C;C;C;C;7101;ZEL;2026-03-14;EXW;CHIUA;2026-03-16 00:00:00;;1002282;2026-03-14;2026-03-14;
180031815;20;ZELN;CHIUA;14:48:57;2026-03-16;6350067401;1;7101;171A;7815;EA;7815;OUTER CASE X 36, F' 4CT REFILL;4500015648;20;109;C;C;C;C;C;C;C;C;7101;ZEL;2026-03-14;EXW;CHIUA;2026-03-16 00:00:00;;1002282;2026-03-14;2026-03-14;
180031984;10;ELN;CHIUA;17:00:54;2026-03-23;9050074101;2002;1711;171A;16848;EA;16848;F' FACE DEPILATORY 40ML;4500016320;10;101;C;C;C;C;C;C;C;C;1711;EL;2026-03-16;EXW;COLEYC;2026-03-27 00:00:00;547352211;7101;2026-03-23;2026-03-24;0080188122
180031984;20;ELN;CHIUA;17:00:54;2026-03-23;9050082501;1001;1711;171A;180;EA;180;F '23 REFILL 4CT CAN RTL;4500016320;20;101;C;C;C;C;C;C;C;C;1711;EL;2026-03-16;EXW;COLEYC;2026-03-27 00:00:00;547352211;7101;2026-03-23;2026-03-24;0080188122
180031984;30;ELN;CHIUA;17:00:54;2026-03-23;9050082601;1001;1711;171A;144;EA;144;F '23 REFILL 8CT CAN RTL;4500016320;30;101;C;C;C;C;C;C;C;C;1711;EL;2026-03-16;EXW;COLEYC;2026-03-27 00:00:00;547352211;7101;2026-03-23;2026-03-24;0080188122
180031984;40;ELN;CHIUA;17:00:54;2026-03-23;9050092502;3001;1711;171A;9240;EA;9240;H '26 2-IN-1 SHAMPOO ASPEN 14OZ US;4500016320;40;101;C;C;C;C;C;C;C;C;1711;EL;2026-03-16;EXW;COLEYC;2026-03-27 00:00:00;547352211;7101;2026-03-23;2026-03-24;0080188122
180031984;50;ELN;CHIUA;17:00:54;2026-03-23;9050098801;1003;1711;171A;150;EA;150;F '25 SHAVE GEL 6.7OZ CAN;4500016320;50;101;C;C;C;C;C;C;C;C;1711;EL;2026-03-16;EXW;COLEYC;2026-03-27 00:00:00;547352211;7101;2026-03-23;2026-03-24;0080188122
180031984;60;ELN;CHIUA;17:00:54;2026-03-23;9050108001;1001;1711;171A;180;EA;180;F '25 PUBIC RAZOR PACK CAN RTL;4500016320;60;101;A;C;C;C;C;C;C;A;1711;EL;2026-03-16;EXW;COLEYC;2026-03-27 00:00:00;547352211;7101;2026-03-23;2026-03-24;0080188122
180031984;70;ELN;CHIUA;17:00:54;2026-03-23;9050108101;1001;1711;171A;180;EA;180;F '25 PUBIC REFILL 4CT CAN RTL;4500016320;70;101;C;C;C;C;C;C;C;C;1711;EL;2026-03-16;EXW;COLEYC;2026-03-27 00:00:00;547352211;7101;2026-03-23;2026-03-24;0080188122
180031992;10;ELN;BATCH_USER;19:40:43;2026-03-23;9050089903;1001;7101;171A;7560;EA;7560;H '26 PLUS VALUE PK MOSS US RTL;4500016425;10;101;C;C;C;C;C;C;C;C;7101;EL;2026-03-19;DAP;CHIUA;2026-03-26 00:00:00;8127312594;1722;2026-03-23;2026-03-25;0080188651
180031992;20;ELN;BATCH_USER;19:40:43;2026-03-23;9050082601;1001;7101;171A;3840;EA;3840;F '23 REFILL 8CT CAN RTL;4500016425;20;101;C;C;C;C;C;C;C;C;7101;EL;2026-03-19;DAP;CHIUA;2026-03-26 00:00:00;8127312594;1722;2026-03-23;2026-03-25;0080188651
180031992;30;ELN;BATCH_USER;19:40:43;2026-03-23;9050125612;1001;7101;171A;20736;EA;20736;H '25 REFILL G2++ 12CT BILLBOARD US RTL;4500016425;30;101;B;C;C;C;C;C;C;B;7101;EL;2026-03-19;DAP;CHIUA;2026-03-26 00:00:00;8127312594;1722;2026-03-23;2026-03-25;0080188651
180032007;10;ZELN;SAP_WFRT;13:10:06;2026-03-24;9050130901;4001;1711;171A;648;EA;648;H '26 LTO BODY WASH COLD PLUNGE 16.9OZ;4500015514;10;109;C;C;C;C;C;C;C;C;1711;ZEL;2026-03-22;EXW;SAP_WFRT;2026-03-24 00:00:00;547900071;1000776;2026-03-23;2026-03-24;3812
180032053;10;ZELN;SAP_WFRT;11:35:05;2026-03-25;9050130901;4001;1711;171A;5112;EA;5112;H '26 LTO BODY WASH COLD PLUNGE 16.9OZ;4500015514;10;109;C;C;C;C;C;C;C;C;1711;ZEL;2026-03-23;EXW;COLEYC;2026-03-27 00:00:00;547783215;1000776;2026-03-24;2026-03-26;3816
180032091;10;ZELN;SAP_WFRT;15:05:06;2026-03-26;9050013401;1001;9999;171A;270000;EA;270000;G2++ SINGLE BLADES WITH COVER;4500015695;10;109;A;C;C;C;C;C;C;A;1711;ZEL;2026-03-25;EXW;SAP_WFRT;2026-03-26 00:00:00;133119.001-1;1000026;2026-03-26;;0049017082
180032092;10;ZELN;SAP_WFRT;15:05:12;2026-03-26;9200002301;1001;9999;171A;75000;EA;75000;H '24 G3 PLUS CARTRIDGE W/ PROT CAP;4500015712;10;109;A;C;C;C;C;C;C;A;1711;ZEL;2026-03-25;EXW;SAP_WFRT;2026-03-26 00:00:00;133119.001-1;1000026;2026-03-26;;0049017081
180032094;10;ZELN;SAP_WFRT;15:05:23;2026-03-26;9050013404;1001;9999;171A;27000;EA;27000;4CT BLADE PACK - G2++;4500015697;10;109;A;C;C;C;C;C;C;A;1711;ZEL;2026-03-25;EXW;SAP_WFRT;2026-03-26 00:00:00;133119.001-1;1000026;2026-03-26;;0049017083
180032095;10;ZELN;SAP_WFRT;15:05:29;2026-03-26;9050013401;1001;9998;171A;54000;EA;54000;G2++ SINGLE BLADES WITH COVER;4500015696;10;109;A;C;C;C;C;C;C;A;171E;ZEL;2026-03-25;EXW;SAP_WFRT;2026-03-26 00:00:00;133119.001-1;1000026;2026-03-26;;0049017084
180032098;10;ZELN;COLEYC;17:51:46;2026-03-26;6350067901;1;7101;171A;238400;EA;238400;CARTON, F' 4CT REFILL;4500015651;10;109;C;C;C;C;C;C;C;C;7101;ZEL;2026-03-26;EXW;CHIUA;2026-04-01 00:00:00;548126809;1003563;2026-03-26;2026-03-31;
180032100;10;ZELN;ALLENC;17:55:46;2026-03-26;6350034602;1;9997;178A;52578;EA;52578;PKG BODY WASH 7OZ TUBE LAVENDER FC R3;4500015813;10;109;C;C;C;C;C;C;C;C;9997;ZEL;2026-03-26;EXW;ALLENC;2026-03-26 00:00:00;;1000019;2026-03-26;2026-03-26;
180032173;10;ZELN;SAP_WFRT;14:05:23;2026-03-30;9050013404;1001;1113;111A;9000;EA;9000;4CT BLADE PACK - G2++;4500015707;10;109;A;C;C;C;C;C;C;A;111E;ZEL;2026-03-30;EXW;COLEYC;2026-04-01 00:00:00;UNKNOWN;1000026;2026-03-30;;0049017088
180032202;10;ZELN;SAP_WFRT;11:50:05;2026-03-31;9050130901;4001;1711;171A;3180;EA;3180;H '26 LTO BODY WASH COLD PLUNGE 16.9OZ;4500015514;10;109;A;C;C;C;C;C;C;A;1711;ZEL;2026-03-29;EXW;SAP_WFRT;2026-03-31 00:00:00;548225712;1000776;2026-03-30;;3821
180032242;10;ZELN;SAP_WFRT;20:35:11;2026-03-31;9050059006;6002;1786;178A;9312;EA;9312;SOLID DEO 2.6OZ STICK ALPINE;4500015741;20;109;C;C;C;C;C;C;C;C;1786;ZEL;2026-03-30;EXW;BLANTOS;2026-04-03 00:00:00;2117800;1010837;2026-03-31;2026-04-03;2603SDH00089217
180032252;10;ELN;BATCH_USER;21:40:24;2026-03-31;9200000307;1005;1711;171A;400;EA;400;F' SHOWER HOLDER - FLAMINGO PINK BULK;4500016594;10;101;A;C;C;C;C;C;C;A;1711;EL;2026-03-31;EXW;;00:00:00;;1714;2026-03-31;;0080190240
180032310;10;ZELN;SAP_WFRT;13:25:05;2026-04-02;9050130901;4001;1711;171A;10800;EA;10800;H '26 LTO BODY WASH COLD PLUNGE 16.9OZ;4500015514;10;109;C;C;C;C;C;C;C;C;1711;ZEL;2026-03-30;EXW;COLEYC;2026-04-13 00:00:00;548525360;1000776;2026-03-31;2026-04-03;3828
180032354;10;ZELN;CHIUA;19:07:58;2026-04-03;9200000201;1001;9999;171A;84000;EA;84000;FLAMINGO BIC - U.S 5B BULK CARTRIDGE;4500016170;10;109;A;C;C;C;C;C;C;A;1711;ZEL;2026-03-30;EXW;CHIUA;2026-04-03 00:00:00;;1005551;2026-03-30;;
