ID,job_name,cron_expression,batch_size,is_active,btp_job_id,btp_schedule_id,config,created_at
dev-job-g-flash-lite,GEMINI gemini-3.1-flash-lite,0 */2 * * *,5,true,17091341,ad7e2426-0e7d-4172-8026-53350f27dba6,"{""provider"":""GEMINI"",""selectedModelId"":""gemini-3.1-flash-lite"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
dev-job-g-flash-25,GEMINI gemini-2.5-flash-lite,0 */2 * * *,5,true,10000001,sched-g-25-lite,"{""provider"":""GEMINI"",""selectedModelId"":""gemini-2.5-flash-lite"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
dev-job-g-flash-35,GEMINI gemini-3.5-flash,0 */2 * * *,5,true,10000002,sched-g-35-flash,"{""provider"":""GEMINI"",""selectedModelId"":""gemini-3.5-flash"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
dev-job-g-pro-img,GEMINI gemini-3-pro-image,0 */2 * * *,5,true,10000003,sched-g-3-pro-img,"{""provider"":""GEMINI"",""selectedModelId"":""gemini-3-pro-image"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
dev-job-oai-55,OPENAI gpt-5.5,0 */2 * * *,5,true,10000004,sched-oai-55,"{""provider"":""OPENAI"",""selectedModelId"":""gpt-5.5"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
dev-job-oai-54p,OPENAI gpt-5.4-pro,0 */2 * * *,5,true,10000005,sched-oai-54p,"{""provider"":""OPENAI"",""selectedModelId"":""gpt-5.4-pro"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
dev-job-oai-54m,OPENAI gpt-5.4-mini,0 */2 * * *,5,true,10000006,sched-oai-54m,"{""provider"":""OPENAI"",""selectedModelId"":""gpt-5.4-mini"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
dev-job-oai-54n,OPENAI gpt-5.4-nano,0 */2 * * *,5,true,10000007,sched-oai-54n,"{""provider"":""OPENAI"",""selectedModelId"":""gpt-5.4-nano"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
dev-job-ant-opus,ANTHROPIC claude-opus-4-8,0 */2 * * *,5,true,10000008,sched-ant-opus,"{""provider"":""ANTHROPIC"",""selectedModelId"":""claude-opus-4-8"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
dev-job-ant-son,ANTHROPIC claude-sonnet-5,0 */2 * * *,5,true,10000009,sched-ant-son,"{""provider"":""ANTHROPIC"",""selectedModelId"":""claude-sonnet-5"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
dev-job-ant-haiku,ANTHROPIC claude-haiku-4-5,0 */2 * * *,5,true,10000010,sched-ant-haiku,"{""provider"":""ANTHROPIC"",""selectedModelId"":""claude-haiku-4-5-20251001"",""inference_option"":""FEW_SHOT"",""temperature"":0.0,""max_tokens"":512,""top_p"":1.0,""system_prompt"":""""}",2026-07-01T00:00:00Z
