po_number;line_item;material_id;supplier_id;plant;doc_type;is_intracompany_transfer;po_qty;po_uom;open_qty;received_qty_so_far;delivery_date;doc_date;created_on;created_by;company_code;purch_group;material_group
4500015431;10;6360044101;;1714;UB;true;2;EA;2;0;2026-01-09;2026-01-05;2026-01-05;PRANATP;1710;81;0001
4500015431;20;6360035302;;1714;UB;true;2;EA;2;0;2026-01-09;2026-01-05;2026-01-05;PRANATP;1710;81;0001
4500015463;30;9050096802;1000776;7101;NB;false;132912;EA;76536;56376;2026-06-01;2026-01-06;2026-01-06;CHENC;1710;198;5001
4500015463;40;9050096802;1000776;1712;NB;false;1200;EA;1200;0;2026-06-01;2026-01-06;2026-01-06;CHENC;1710;198;5001
4500015476;10;9050133701;1013876;1711;NB;false;8700;EA;9;8691;2026-04-17;2026-01-07;2026-01-07;WRENS;1710;71;5002
4500015486;10;6380000201;1012585;9999;NB;false;28080;EA;28080;0;2026-07-06;2026-01-08;2026-01-08;FITZSIC;1710;177;5002
4500015488;10;9050103104;1012603;1711;ZSC;false;22960;EA;2800;20160;2026-02-15;2026-01-08;2026-01-08;PRANATP;1710;81;1001
4500015489;10;9050130201;1012574;1711;NB;false;15000;EA;15000;0;2026-06-17;2026-01-08;2026-01-08;WRENS;1710;71;5003
4500015491;10;9050130301;1013563;1711;NB;false;50000;EA;50000;0;2026-05-29;2026-01-08;2026-01-08;WRENS;1710;71;7002
4500015492;10;6360044101;1000851;1711;NB;false;6000;EA;1000;5000;2026-01-09;2026-01-08;2026-01-08;GHULEM;1710;188;0001
4500015509;50;9050054310;1000776;1787;ZSC;false;5000;EA;5000;0;2026-05-08;2026-01-12;2026-01-12;ALLENC;1780;184;4001
4500015510;10;9050097002;1005413;7101;NB;false;25000;EA;25000;0;2026-05-04;2026-01-12;2026-01-12;ZOULM;1710;197;5002
4500015514;10;9050130901;1000776;1711;NB;false;19750;EA;3190;16560;2026-03-03;2026-01-12;2026-01-12;ANTONEC;1710;71;4001
4500015522;10;6350063301;1004443;9998;NB;false;8520;EA;8520;0;2026-02-27;2026-01-13;2026-01-13;CHENC;1110;198;0001
4500015524;10;9050092302;1000776;7101;NB;false;59920;EA;59920;0;2026-06-08;2026-01-13;2026-01-13;FITZSIC;1710;177;4001
4500015530;10;9050097702;1010516;7101;NB;false;350000;EA;350000;0;2026-07-11;2026-01-14;2026-01-14;CHENC;1710;198;1003
4500015538;20;6360043401;1000017;1711;NB;false;50000;EA;3000;47000;2026-03-02;2026-01-14;2026-01-14;PRANATP;1710;188;0001
4500015547;10;9050117603;;7814;UB;true;19104;EA;19104;0;2026-01-15;2026-01-15;2026-01-15;FARKASB;1780;194;6001
4500015555;10;9050098002;1010516;7101;NB;false;183000;EA;183000;0;2026-07-17;2026-01-15;2026-01-15;CHENC;1710;198;1003
4500015564;20;9050129710;1000776;7803;ZSC;false;20000;EA;20000;0;2026-07-20;2026-01-15;2026-01-16;ALLENC;1780;184;4001
4500015583;10;9050114301;;1711;UB;true;2;EA;2;0;2026-01-26;2026-01-20;2026-01-20;PRANATP;1710;81;1001
4500015588;10;9050110202;1003563;1722;ZSC;false;4320;EA;288;4032;2026-04-30;2026-01-20;2026-01-20;PRANATP;1710;81;1001
4500015601;10;9050089903;1003563;1722;ZSC;false;64800;EA;64800;0;2026-05-30;2026-01-21;2026-01-21;PRANATP;1710;81;1001
4500015602;10;9050089903;1003563;1722;ZSC;false;64800;EA;64800;0;2026-06-30;2026-01-21;2026-01-21;PRANATP;1710;81;1001
4500015603;10;9050089902;1003563;1722;ZSC;false;48600;EA;48600;0;2026-05-30;2026-01-21;2026-01-21;PRANATP;1710;81;1001
4500015604;10;9050089902;1003563;1722;ZSC;false;54000;EA;54000;0;2026-06-30;2026-01-21;2026-01-21;PRANATP;1710;81;1001
4500015606;10;9050089901;1003563;1722;ZSC;false;43200;EA;43200;0;2026-05-30;2026-01-21;2026-01-21;PRANATP;1710;81;1001
4500015607;10;9050089901;1003563;1722;ZSC;false;64800;EA;64800;0;2026-06-30;2026-01-21;2026-01-21;PRANATP;1710;81;1001
4500015634;10;9050089602;1010525;1711;NB;false;2640;EA;2640;0;2026-07-24;2026-01-23;2026-01-23;FITZSIC;1710;177;3001
4500015634;20;9050089602;1010525;1712;NB;false;1320;EA;1320;0;2026-07-24;2026-01-23;2026-01-23;FITZSIC;1710;177;3001
4500015634;30;9050089602;1010525;1714;NB;false;3960;EA;3960;0;2026-07-24;2026-01-23;2026-01-23;FITZSIC;1710;177;3001
4500015634;40;9050089602;1010525;7101;NB;false;33156;EA;33156;0;2026-07-24;2026-01-23;2026-01-23;FITZSIC;1710;177;3001
4500015635;10;9050091602;1010525;1711;NB;false;1920;EA;1920;0;2026-07-27;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015635;20;9050091602;1010525;1712;NB;false;960;EA;960;0;2026-07-27;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015635;30;9050091602;1010525;1714;NB;false;45220;EA;45220;0;2026-07-27;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015635;40;9050091602;1010525;7101;NB;false;84504;EA;84504;0;2026-07-27;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015636;10;9050091602;1010525;1711;NB;false;1920;EA;1920;0;2026-08-24;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015636;20;9050091602;1010525;1712;NB;false;960;EA;960;0;2026-08-24;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015636;30;9050091602;1010525;1714;NB;false;2880;EA;2880;0;2026-08-24;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
4500015636;40;9050091602;1010525;7101;NB;false;126744;EA;126744;0;2026-08-24;2026-01-23;2026-01-23;FITZSIC;1710;177;4001
